attributes,Id,Name,Territory__c,BillingState,BillingCountry
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002MUmzVAAT'})",0018a00002MUmzVAAT,Lantum,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002MUnKrAAL'})",0018a00002MUnKrAAL,Lumio Dental,,Oklahoma,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002MUtHJAA1'})",0018a00002MUtHJAA1,Lobyco,,,Denmark
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E0000002GjnAIAS'})",001E0000002GjnAIAS,Lowe's,,North Carolina,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000DxqLlIAJ'})",001E000000DxqLlIAJ,"Macy's, Inc.",,Ohio,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000DzPFLIA3'})",001E000000DzPFLIA3,Loblaw Digital,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000F1oI9IAJ'})",001E000000F1oI9IAJ,Lunds & Byerlys,,Minnesota,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000F1oMhIAJ'})",001E000000F1oMhIAJ,Longo's,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000IZQR5IAP'})",001E000000IZQR5IAP,Loss Prevention Innovations,,Massachusetts,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000ShhH6IAJ'})",001E000000ShhH6IAJ,LQ Management L.L.C.,,Texas,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000ShivYIAR'})",001E000000ShivYIAR,Levi Strauss & Co.,,California,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000cnRIeIAM'})",001E000000cnRIeIAM,Liberty Mutual Insurance,,Massachusetts,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000g3vw7IAA'})",001E000000g3vw7IAA,Lifeworks - Benefits,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000i0olyIAA'})",001E000000i0olyIAA,Lowe's Canada,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000k6N4iIAE'})",001E000000k6N4iIAE,Macy's Inc. Logistics Center,,Arizona,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001E000000ndbDZIAY'})",001E000000ndbDZIAY,Lindbak Retail Systems AS,,,Norway
